{'Temp': 25.20, 'Sun': 59, 'Ang': 0, 'Fan': 35 },
{'Temp': 26.17, 'Sun': 59, 'Ang': 0, 'Fan': 39 },
{'Temp': 26.17, 'Sun': 59, 'Ang': 0, 'Fan': 39 },
{'Temp': 26.17, 'Sun': 59, 'Ang': 0, 'Fan': 39 },
{'Temp': 26.17, 'Sun': 59, 'Ang': 0, 'Fan': 39 },
{'Temp': 27.15, 'Sun': 81, 'Ang': 0, 'Fan': 42 },
{'Temp': 27.15, 'Sun': 59, 'Ang': 0, 'Fan': 42 },
{'Temp': 26.66, 'Sun': 59, 'Ang': 0, 'Fan': 39 },
{'Temp': 26.17, 'Sun': 59, 'Ang': 0, 'Fan': 39 },
{'Temp': 26.17, 'Sun': 59, 'Ang': 0, 'Fan': 39 },
{'Temp': 25.68, 'Sun': 59, 'Ang': 0, 'Fan': 35 },
{'Temp': 25.68, 'Sun': 59, 'Ang': 0, 'Fan': 35 },
{'Temp': 25.68, 'Sun': 59, 'Ang': 0, 'Fan': 35 },
{'Temp': 25.68, 'Sun': 59, 'Ang': 0, 'Fan': 35 },
{'Temp': 26.17, 'Sun': 59, 'Ang': 0, 'Fan': 39 },
{'Temp': 26.17, 'Sun': 59, 'Ang': 0, 'Fan': 39 },
{'Temp': 25.68, 'Sun': 59, 'Ang': 0, 'Fan': 35 },
{'Temp': 26.66, 'Sun': 59, 'Ang': 0, 'Fan': 39 },
{'Temp': 26.17, 'Sun': 59, 'Ang': 0, 'Fan': 39 },
{'Temp': 26.66, 'Sun': 59, 'Ang': 0, 'Fan': 39 },
{'Temp': 26.17, 'Sun': 59, 'Ang': 0, 'Fan': 39 },
{'Temp': 26.17, 'Sun': 59, 'Ang': 0, 'Fan': 39 },
{'Temp': 26.17, 'Sun': 59, 'Ang': 0, 'Fan': 39 },
{'Temp': 25.68, 'Sun': 59, 'Ang': 0, 'Fan': 35 },
{'Temp': 26.17, 'Sun': 59, 'Ang': 0, 'Fan': 39 },
{'Temp': 26.17, 'Sun': 59, 'Ang': 0, 'Fan': 39 },
{'Temp': 26.17, 'Sun': 59, 'Ang': 0, 'Fan': 39 },
{'Temp': 25.68, 'Sun': 59, 'Ang': 0, 'Fan': 35 },
{'Temp': 25.68, 'Sun': 81, 'Ang': 0, 'Fan': 35 },
{'Temp': 25.68, 'Sun': 81, 'Ang': 0, 'Fan': 35 },
{'Temp': 25.68, 'Sun': 59, 'Ang': 0, 'Fan': 35 },
{'Temp': 25.68, 'Sun': 59, 'Ang': 0, 'Fan': 35 },
{'Temp': 25.68, 'Sun': 81, 'Ang': 0, 'Fan': 35 },
{'Temp': 25.68, 'Sun': 81, 'Ang': 0, 'Fan': 35 },
{'Temp': 26.17, 'Sun': 81, 'Ang': 0, 'Fan': 39 },
{'Temp': 26.17, 'Sun': 81, 'Ang': 0, 'Fan': 39 },
{'Temp': 25.68, 'Sun': 81, 'Ang': 0, 'Fan': 35 },
{'Temp': 26.66, 'Sun': 81, 'Ang': 0, 'Fan': 39 },
{'Temp': 26.17, 'Sun': 81, 'Ang': 0, 'Fan': 39 },
{'Temp': 25.68, 'Sun': 81, 'Ang': 0, 'Fan': 35 },
{'Temp': 25.68, 'Sun': 81, 'Ang': 0, 'Fan': 35 },
{'Temp': 25.68, 'Sun': 81, 'Ang': 0, 'Fan': 35 },
{'Temp': 25.68, 'Sun': 81, 'Ang': 0, 'Fan': 35 },
{'Temp': 25.68, 'Sun': 81, 'Ang': 0, 'Fan': 35 },
{'Temp': 25.68, 'Sun': 81, 'Ang': 0, 'Fan': 35 },
{'Temp': 26.17, 'Sun': 81, 'Ang': 0, 'Fan': 39 },
{'Temp': 26.17, 'Sun': 81, 'Ang': 0, 'Fan': 39 },
{'Temp': 26.17, 'Sun': 81, 'Ang': 0, 'Fan': 39 },
{'Temp': 26.17, 'Sun': 81, 'Ang': 0, 'Fan': 39 },
{'Temp': 27.64, 'Sun': 81, 'Ang': 0, 'Fan': 42 },
{'Temp': 27.15, 'Sun': 81, 'Ang': 0, 'Fan': 42 },
{'Temp': 26.66, 'Sun': 81, 'Ang': 0, 'Fan': 39 },
{'Temp': 26.66, 'Sun': 81, 'Ang': 0, 'Fan': 39 },
{'Temp': 26.66, 'Sun': 81, 'Ang': 0, 'Fan': 39 },
{'Temp': 26.66, 'Sun': 81, 'Ang': 0, 'Fan': 39 },
{'Temp': 26.66, 'Sun': 81, 'Ang': 0, 'Fan': 39 },
{'Temp': 26.66, 'Sun': 81, 'Ang': 0, 'Fan': 39 },
{'Temp': 27.15, 'Sun': 81, 'Ang': 0, 'Fan': 42 },
{'Temp': 27.64, 'Sun': 81, 'Ang': 0, 'Fan': 42 },
{'Temp': 27.15, 'Sun': 81, 'Ang': 0, 'Fan': 42 },
{'Temp': 27.15, 'Sun': 81, 'Ang': 0, 'Fan': 42 },
{'Temp': 27.15, 'Sun': 81, 'Ang': 0, 'Fan': 42 },
{'Temp': 27.64, 'Sun': 81, 'Ang': 0, 'Fan': 42 },
{'Temp': 27.64, 'Sun': 81, 'Ang': 0, 'Fan': 42 },
{'Temp': 27.64, 'Sun': 81, 'Ang': 0, 'Fan': 42 },
{'Temp': 27.15, 'Sun': 81, 'Ang': 0, 'Fan': 42 },
{'Temp': 27.15, 'Sun': 81, 'Ang': 0, 'Fan': 42 },
{'Temp': 27.15, 'Sun': 81, 'Ang': 0, 'Fan': 42 },
{'Temp': 27.64, 'Sun': 81, 'Ang': 0, 'Fan': 42 },
{'Temp': 27.64, 'Sun': 81, 'Ang': 0, 'Fan': 42 },
{'Temp': 28.12, 'Sun': 81, 'Ang': 0, 'Fan': 45 },
{'Temp': 27.64, 'Sun': 81, 'Ang': 0, 'Fan': 42 },
{'Temp': 27.64, 'Sun': 81, 'Ang': 0, 'Fan': 42 },
{'Temp': 28.12, 'Sun': 81, 'Ang': 0, 'Fan': 45 },
{'Temp': 28.12, 'Sun': 81, 'Ang': 0, 'Fan': 45 },
{'Temp': 28.12, 'Sun': 81, 'Ang': 0, 'Fan': 45 },
{'Temp': 28.12, 'Sun': 81, 'Ang': 0, 'Fan': 45 },
{'Temp': 28.12, 'Sun': 81, 'Ang': 0, 'Fan': 45 },
{'Temp': 28.12, 'Sun': 81, 'Ang': 0, 'Fan': 45 },
{'Temp': 27.64, 'Sun': 59, 'Ang': 0, 'Fan': 42 },
{'Temp': 28.12, 'Sun': 81, 'Ang': 0, 'Fan': 45 },
{'Temp': 28.12, 'Sun': 81, 'Ang': 0, 'Fan': 45 },
{'Temp': 28.12, 'Sun': 81, 'Ang': 0, 'Fan': 45 },
{'Temp': 28.12, 'Sun': 81, 'Ang': 0, 'Fan': 45 },
{'Temp': 28.12, 'Sun': 81, 'Ang': 0, 'Fan': 45 },
{'Temp': 29.10, 'Sun': 81, 'Ang': 0, 'Fan': 49 },
{'Temp': 28.61, 'Sun': 81, 'Ang': 0, 'Fan': 45 },
{'Temp': 28.61, 'Sun': 81, 'Ang': 0, 'Fan': 45 },
{'Temp': 28.12, 'Sun': 59, 'Ang': 0, 'Fan': 45 },
{'Temp': 28.12, 'Sun': 81, 'Ang': 0, 'Fan': 45 },
{'Temp': 28.12, 'Sun': 81, 'Ang': 0, 'Fan': 45 },
{'Temp': 28.12, 'Sun': 81, 'Ang': 0, 'Fan': 45 },
{'Temp': 28.61, 'Sun': 59, 'Ang': 0, 'Fan': 45 },
{'Temp': 28.12, 'Sun': 81, 'Ang': 0, 'Fan': 45 },
{'Temp': 28.12, 'Sun': 81, 'Ang': 0, 'Fan': 45 },
{'Temp': 28.61, 'Sun': 81, 'Ang': 0, 'Fan': 45 },
{'Temp': 28.61, 'Sun': 81, 'Ang': 0, 'Fan': 45 },
{'Temp': 28.61, 'Sun': 81, 'Ang': 0, 'Fan': 45 },
{'Temp': 29.59, 'Sun': 81, 'Ang': 0, 'Fan': 49 },
{'Temp': 28.61, 'Sun': 81, 'Ang': 0, 'Fan': 45 },
{'Temp': 28.61, 'Sun': 59, 'Ang': 0, 'Fan': 45 },
{'Temp': 28.61, 'Sun': 59, 'Ang': 0, 'Fan': 45 },
{'Temp': 28.12, 'Sun': 81, 'Ang': 0, 'Fan': 45 },
{'Temp': 28.61, 'Sun': 81, 'Ang': 0, 'Fan': 45 },
{'Temp': 28.61, 'Sun': 81, 'Ang': 0, 'Fan': 45 },
{'Temp': 28.61, 'Sun': 59, 'Ang': 0, 'Fan': 45 },
{'Temp': 28.61, 'Sun': 81, 'Ang': 0, 'Fan': 45 },
{'Temp': 28.61, 'Sun': 81, 'Ang': 0, 'Fan': 45 },
{'Temp': 28.61, 'Sun': 81, 'Ang': 0, 'Fan': 45 },
{'Temp': 29.10, 'Sun': 81, 'Ang': 0, 'Fan': 49 },
{'Temp': 28.61, 'Sun': 81, 'Ang': 0, 'Fan': 45 },
{'Temp': 29.10, 'Sun': 81, 'Ang': 0, 'Fan': 49 },
{'Temp': 29.10, 'Sun': 81, 'Ang': 0, 'Fan': 49 },
{'Temp': 29.10, 'Sun': 59, 'Ang': 0, 'Fan': 49 },
{'Temp': 28.61, 'Sun': 59, 'Ang': 0, 'Fan': 45 },
{'Temp': 28.61, 'Sun': 59, 'Ang': 0, 'Fan': 45 },
{'Temp': 28.61, 'Sun': 59, 'Ang': 0, 'Fan': 45 },
{'Temp': 28.61, 'Sun': 59, 'Ang': 0, 'Fan': 45 },
{'Temp': 29.10, 'Sun': 59, 'Ang': 0, 'Fan': 49 },
{'Temp': 28.61, 'Sun': 59, 'Ang': 0, 'Fan': 45 },
{'Temp': 29.10, 'Sun': 59, 'Ang': 0, 'Fan': 49 },
{'Temp': 29.10, 'Sun': 59, 'Ang': 0, 'Fan': 49 },
{'Temp': 29.10, 'Sun': 59, 'Ang': 0, 'Fan': 49 },
{'Temp': 29.59, 'Sun': 59, 'Ang': 0, 'Fan': 49 },
{'Temp': 29.10, 'Sun': 59, 'Ang': 0, 'Fan': 49 },
{'Temp': 29.10, 'Sun': 59, 'Ang': 0, 'Fan': 49 },
{'Temp': 29.10, 'Sun': 59, 'Ang': 0, 'Fan': 49 },
{'Temp': 29.10, 'Sun': 59, 'Ang': 0, 'Fan': 49 },
{'Temp': 29.10, 'Sun': 59, 'Ang': 0, 'Fan': 49 },
{'Temp': 29.10, 'Sun': 59, 'Ang': 0, 'Fan': 49 },
{'Temp': 28.61, 'Sun': 59, 'Ang': 0, 'Fan': 45 },
{'Temp': 29.10, 'Sun': 59, 'Ang': 0, 'Fan': 49 },
{'Temp': 29.10, 'Sun': 59, 'Ang': 0, 'Fan': 49 },
{'Temp': 29.10, 'Sun': 59, 'Ang': 0, 'Fan': 49 },
{'Temp': 29.10, 'Sun': 59, 'Ang': 0, 'Fan': 49 },
{'Temp': 29.10, 'Sun': 59, 'Ang': 0, 'Fan': 49 },
